nohup: ignoring input
 INFO  Accepting connections at http://localhost:8080
 HTTP  9/7/2025 3:20:33 PM 35.216.163.139 Returned 200 in 1 ms
 HTTP  9/7/2025 3:20:34 PM 35.216.163.139 GET /.git/config
 HTTP  9/7/2025 3:20:34 PM 35.216.163.139 Returned 200 in 1 ms
 HTTP  9/7/2025 3:20:34 PM 35.216.163.139 GET /server-status
 HTTP  9/7/2025 3:20:34 PM 35.216.163.139 Returned 200 in 1 ms
 HTTP  9/7/2025 3:20:35 PM 35.216.163.139 GET /config.json
 HTTP  9/7/2025 3:20:35 PM 35.216.163.139 Returned 200 in 1 ms
 HTTP  9/7/2025 3:20:35 PM 35.216.163.139 GET /.env
 HTTP  9/7/2025 3:20:35 PM 35.216.163.139 Returned 200 in 1 ms
 HTTP  9/7/2025 3:20:35 PM 35.216.163.139 GET /telescope/requests
 HTTP  9/7/2025 3:20:35 PM 35.216.163.139 Returned 200 in 1 ms
 HTTP  9/7/2025 3:20:36 PM 35.216.163.139 GET /info.php
 HTTP  9/7/2025 3:20:36 PM 35.216.163.139 Returned 200 in 1 ms
 HTTP  9/7/2025 3:44:52 PM 167.172.89.248 GET /aaa9
 HTTP  9/7/2025 3:44:52 PM 167.172.89.248 Returned 200 in 1 ms
 HTTP  9/7/2025 3:44:53 PM 167.172.89.248 GET /aab8
 HTTP  9/7/2025 3:44:53 PM 167.172.89.248 Returned 200 in 1 ms
 HTTP  9/7/2025 3:44:53 PM 167.172.89.248 GET /
 HTTP  9/7/2025 3:44:53 PM 167.172.89.248 Returned 200 in 1 ms
 HTTP  9/7/2025 3:49:30 PM 185.169.4.150 GET /
 HTTP  9/7/2025 3:49:30 PM 185.169.4.150 Returned 200 in 1 ms
 HTTP  9/7/2025 4:45:24 PM 172.202.118.18 GET /actuator/health
 HTTP  9/7/2025 4:45:24 PM 172.202.118.18 Returned 200 in 1 ms
 HTTP  9/7/2025 5:00:13 PM 167.94.138.38 GET /
 HTTP  9/7/2025 5:00:13 PM 167.94.138.38 Returned 200 in 1 ms
 HTTP  9/7/2025 5:00:23 PM 167.94.138.38 GET /
